Rank,Team,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM,Games_Won,Year
37,Minnesota 5,24-10,16,109.7,93.7,69.5,0.022,8.09,108.9,100.8,-1.81,0,2017
38,Northwestern 8,24-12,15.81,111.3,95.5,65.6,0.019,8.32,109,100.7,-3.23,1,2017
39,Dayton 7,24-8,15.57,111.9,96.3,68.4,-0.021,3.64,105.9,102.3,2.53,0,2017
40,Michigan St. 9,20-15,15.51,111.4,95.9,66.9,-0.011,10.99,110.6,99.6,4.01,1,2017
42,Miami FL 8,21-12,15.03,109.9,94.9,63,0.031,9.39,110.7,101.3,-4.48,0,2017
43,Middle Tennessee 12,31-5,14.95,112.2,97.2,64.6,0.011,-0.93,104.4,105.3,3.86,1,2017
46,Maryland 6,24-9,14.34,113.1,98.7,67.2,0.061,7.74,108.3,100.6,-1.1,0,2017
48,VCU 10,26-9,14.07,110.1,96,68.8,0.026,3.65,105.8,102.2,0.91,0,2017
50,Virginia Tech 9,22-11,13.8,117.3,103.5,68.4,0.053,8.23,110,101.7,-7.98,0,2017
51,Seton Hall 9,21-12,13.63,109.4,95.8,67.5,0.058,9.65,110.2,100.6,-2.11,0,2017
53,USC 11,26-10,13.45,114.2,100.7,68.7,0.079,5.49,108.8,103.3,-3.37,1,2017
54,Nevada 12,28-7,13.31,114.6,101.3,69.7,0.055,1.29,104.5,103.2,-1.12,0,2017
58,Princeton 12,23-7,12.61,109,96.4,63.2,0.007,-1.08,103.9,105,2.17,0,2017
59,UNC Wilmington 12,29-6,12.46,118,105.5,70.3,0.039,0.4,105.1,104.7,2.17,0,2017
63,Vermont 13,29-6,11.67,111.1,99.4,64.5,0.053,-4.42,103,107.4,1.65,0,2017
67,East Tennessee St. 13,27-8,11.1,108,96.9,70.1,0.005,-1.17,105.4,106.6,0.38,0,2017
76,Bucknell 13,26-9,9.38,109.7,100.3,70,0.006,-3.62,101.4,105,0.89,0,2017
84,New Mexico St. 14,28-6,7.89,110.5,102.6,67.9,0.063,-4.52,101,105.6,-4.82,0,2017
108,Florida Gulf Coast 14,26-8,5.07,109.4,104.4,65.9,0.037,-4.8,103.7,108.5,2.14,0,2017
113,Winthrop 13,26-7,4.53,106.1,101.6,71.1,0.029,-7.13,100.7,107.8,1.93,0,2017
117,Iona 14,22-13,4.2,110.8,106.6,70.6,0.013,-1.94,103.7,105.7,-0.05,0,2017
137,Troy 15,22-15,2.04,109.7,107.6,68.1,-0.023,-2.86,102.4,105.3,-6.78,0,2017
138,Northern Kentucky 15,24-11,1.91,106.8,104.9,68,0.073,-3.35,102.9,106.3,-2.55,0,2017
141,Kent St. 14,22-14,1.68,104.9,103.3,68.3,0.024,-1.92,104.4,106.3,-5.91,0,2017
157,Jacksonville St. 15,20-15,0.63,105.8,105.2,63.6,0.028,-1.68,104.2,105.9,0.61,0,2017
168,North Dakota 15,22-10,0.04,103.6,103.5,71.5,0.048,-5.66,103,108.6,3.24,0,2017
185,South Dakota St. 16,18-17,-1.19,110.2,111.4,67.2,0.029,-0.59,104.9,105.5,1.66,0,2017
209,Mount St. Mary's 16,20-16,-3.86,99.5,103.4,66.8,0.074,-4.49,102,106.5,11.52,0,2017
212,Texas Southern 16,23-12,-4.04,103.5,107.5,68.6,0.125,-8.49,100.2,108.7,12.68,0,2017
218,UC Davis 16,23-13,-4.41,97.8,102.2,68.9,0.131,-5.31,100.8,106.1,-0.94,0,2017
1,Villanova 2,35-5,32.01,122.8,90.8,66,0.023,10.74,110.5,99.7,2.98,6,2016
2,North Carolina 1,33-7,29.82,124.4,94.6,70.5,-0.055,11.45,111.7,100.2,3.13,5,2016
3,Kansas 1,33-5,29.67,120,90.4,69,0.044,12.61,111.4,98.8,3.62,3,2016
4,Virginia 1,29-8,29.64,120.6,91,61.3,-0.04,12.67,112.1,99.5,4.98,3,2016
5,Michigan St. 2,29-6,27.97,123.4,95.5,66.5,-0.012,7.19,107.5,100.3,0.4,0,2016
6,Kentucky 4,27-9,25.14,121.8,96.6,67.4,-0.046,8.37,108.6,100.3,3.19,1,2016
8,West Virginia 3,26-9,24.45,115.3,90.9,69.5,0.003,11.24,110.9,99.6,0.72,0,2016
9,Purdue 5,26-9,23.85,116.9,93.1,67.9,-0.046,7.43,109.1,101.7,-2.67,0,2016
10,Oklahoma 2,29-8,23.78,117.9,94.1,69.8,0.082,13.05,111.5,98.5,2.7,4,2016
11,Indiana 5,27-8,23.05,121.7,98.7,68.2,0,6.4,108.8,102.4,-3.12,2,2016
12,Oregon 1,31-7,22.68,119.1,96.4,68.1,0.041,9.06,109,100,1.04,3,2016
13,Wichita St. 11,26-9,22.53,111.3,88.7,66,-0.079,3.61,104.8,101.2,6.45,1,2016
14,Xavier 2,28-6,22.52,117.1,94.6,71.9,0.047,8.16,108.2,100,1.73,1,2016
15,Miami FL 3,27-8,22.44,119.4,96.9,65.9,0.077,11.67,111.6,99.9,2.63,2,2016
17,Duke 4,25-11,21.87,121.9,100,67.7,-0.026,11.23,112,100.7,3.52,2,2016
18,Texas A&M 3,28-9,21.26,113.8,92.5,67.1,0.006,8.48,109.6,101.1,3.15,2,2016
19,Arizona 6,25-9,20.97,116.8,95.8,68.3,-0.038,6.66,107.9,101.3,-3.66,0,2016
20,Iowa St. 4,23-12,20.95,121.2,100.3,71.2,-0.062,12.05,110.2,98.1,2.54,2,2016
21,Gonzaga 11,28-8,20.82,116.3,95.5,67.3,-0.038,3.51,107.3,103.8,6.12,2,2016
22,Maryland 5,27-9,20.25,116.2,95.9,67.4,0.016,8.6,109.2,100.6,-1.86,2,2016
23,Iowa 7,22-11,20.24,116.1,95.9,68.8,-0.071,9.12,110.2,101.1,1.28,1,2016
24,Baylor 5,22-12,19.06,118.9,99.8,66.6,-0.012,11.21,109.7,98.4,-3.12,0,2016
26,Connecticut 9,25-11,18.71,111.9,93.2,65.9,-0.036,6.17,107.6,101.4,-0.91,1,2016
27,Syracuse 10,23-14,18.57,112.7,94.1,65,-0.027,10.21,110.9,100.7,-0.82,4,2016
28,California 4,23-11,18.32,112.5,94.2,68.1,-0.053,7.65,109.4,101.8,-2.58,0,2016
29,Seton Hall 6,25-9,18.27,111.1,92.9,69.7,0.016,8.55,108.5,100,-2.92,0,2016
30,Butler 9,22-11,17.27,118,100.7,67.9,-0.009,8.1,108.5,100.4,-4.1,1,2016
31,VCU 10,25-11,17.07,112.1,95,69.6,-0.07,3.82,107.3,103.5,0.95,1,2016
32,Cincinnati 9,22-11,17.06,111.2,94.1,64,-0.067,5.2,107.3,102.1,-1.21,0,2016
33,Utah 3,27-9,16.79,115.6,98.8,65.3,0.112,9.79,109.8,100,1.9,1,2016
36,Notre Dame 6,24-12,16.6,120.6,104,64.6,0.054,10.75,111.3,100.5,-1.64,3,2016
37,Pittsburgh 10,21-12,16.6,114.9,98.3,65.3,-0.011,9.06,110.8,101.7,-7.02,0,2016
38,Wisconsin 7,22-13,16.55,110.1,93.6,63.3,-0.022,9.57,110.3,100.7,1.24,2,2016
39,Texas 6,20-13,16.19,113,96.8,65.3,0.022,12.54,111.5,99,5.55,0,2016
41,Stephen F. Austin 14,28-6,15.62,112.2,96.6,67.3,0.007,-5.88,102.7,108.6,4.79,1,2016
43,Saint Joseph's 8,28-8,15.37,114.3,98.9,70.2,0.03,4.66,107,102.3,1.97,1,2016
44,Providence 9,24-11,14.49,110,95.5,68.4,0.062,8.93,109.5,100.6,-3.13,1,2016
47,Yale 12,23-7,14.33,110.4,96,66,0.026,-0.85,105.5,106.4,-1,1,2016
49,USC 8,21-13,14.25,113.9,99.7,71,-0.028,7.61,108.7,101.1,-1.65,0,2016
50,Michigan 11,23-13,14.15,114.6,100.5,65.8,0.013,8.96,110.1,101.1,-2.15,0,2016
54,Texas Tech 8,19-13,13.78,113.2,99.4,66,0.028,10.66,110.4,99.7,0.62,0,2016
56,Arkansas Little Rock 12,30-5,13.24,109.2,96,63.4,0.056,-0.77,104.2,104.9,-0.2,1,2016
57,Colorado 8,22-12,12.91,108.8,95.9,69,0.015,7.51,109.5,102,-2.15,0,2016
59,Dayton 7,25-8,12.63,106.6,94,67.8,0.082,3.89,107.3,103.4,2.58,0,2016
60,Hawaii 13,28-6,12.16,108.2,96.1,70.6,0.013,-2.32,102.5,104.9,-8.92,1,2016
64,Oregon St. 7,19-13,11.65,110.7,99.1,67.1,0.043,9.61,109.8,100.2,0.46,0,2016
67,Northern Iowa 11,23-13,11.13,109.6,98.5,62.9,0.013,4.8,106.1,101.3,7.57,1,2016
80,South Dakota St. 12,26-8,9.57,111.4,101.8,68.3,0.004,-0.23,104.6,104.8,1.91,0,2016
83,UNC Wilmington 13,25-8,9.21,110.7,101.5,70.3,0.033,0.85,105.7,104.9,-3.9,0,2016
86,Temple 10,21-12,8.82,107,98.1,65.9,0.095,6.33,107.8,101.5,3.7,0,2016
94,Stony Brook 13,26-7,8.13,107.3,99.1,67.2,0.049,-5.6,103.3,108.9,4.38,0,2016
104,Iona 13,22-11,7.13,110.5,103.4,71.9,-0.005,-1.78,103.7,105.5,5.71,0,2016
108,Fresno St. 14,25-10,6.63,107.4,100.8,69,0.085,1.65,105.3,103.7,-2.89,0,2016
109,Chattanooga 12,29-6,6.5,107.5,101,66.3,0.132,-3.18,104.4,107.6,-0.04,0,2016
110,Cal St. Bakersfield 15,24-9,6.26,104,97.8,67.6,-0.003,-6.5,100.6,107.1,-2.99,0,2016
119,Middle Tennessee 15,25-10,4.76,104.6,99.9,67.6,0.088,-0.58,105.5,106.1,2.11,1,2016
127,Green Bay 14,23-13,3.74,108.3,104.6,76.2,0.057,0.11,104.4,104.3,1.92,0,2016
131,UNC Asheville 15,22-12,3.44,103.6,100.1,70.1,-0.008,-4.12,103.4,107.5,2.64,0,2016
138,Buffalo 14,20-15,2.95,105.9,102.9,72.1,0.044,0.97,106.5,105.6,2,0,2016
142,Weber St. 15,26-9,2.45,103.4,100.9,66.8,0.019,-5.67,103.3,109,1.16,0,2016
162,Florida Gulf Coast 16,21-14,-0.08,103.6,103.7,67,-0.038,-5.83,104.1,110,-1.87,0,2016
217,Austin Peay 16,18-18,-5.1,104.5,109.6,69.5,0.061,-2.92,105.1,108,-0.19,0,2016
248,Hampton 16,21-11,-7.4,99.8,107.2,71.2,0.157,-9.75,98.9,108.7,1.91,0,2016
286,Alabama St.,14-17,-11.59,99.1,110.7,69,0.029,-7.89,99.3,107.2,4.32,0,2016
1,Kentucky 1,38-1,36.91,121.3,84.4,62.4,0.048,8.58,108.7,100.1,3.13,4,2015
2,Wisconsin 1,36-4,33.72,129,95.2,58.7,0.015,11.03,109.8,98.8,5.3,5,2015
3,Duke 1,35-4,32.48,124.5,92,65.8,0.067,11.17,110.7,99.5,1.31,6,2015
4,Arizona 2,34-4,32.36,119.9,87.5,65.8,-0.033,7.37,108.3,100.9,0.09,3,2015
5,Villanova 1,33-3,30.65,122.7,92,64.2,0.031,7.67,108.2,100.6,0.23,1,2015
6,Virginia 2,30-4,30.06,115.6,85.5,58,0.023,8.21,108.5,100.3,0.46,1,2015
7,Gonzaga 2,35-3,27.78,121.7,93.9,64.7,0.018,4.37,107.3,102.9,3,3,2015
8,Utah 5,26-9,27.24,116.4,89.2,60.5,-0.054,8.19,108.8,100.6,0.6,2,2015
9,Notre Dame 3,32-6,24.96,125.4,100.4,63.4,0.062,7.59,107.7,100.1,-11.62,3,2015
10,North Carolina 4,26-12,23.85,119.1,95.3,69.2,-0.026,12.76,111.1,98.3,7.64,2,2015
11,Oklahoma 3,24-11,22.8,112.5,89.7,66.7,-0.045,11,110.2,99.2,1.05,2,2015
12,Kansas 2,27-9,22.72,114.5,91.8,67,0.07,13.17,110.6,97.4,9.57,1,2015
13,Wichita St. 7,30-5,22.21,115.8,93.6,62.3,0.022,3.24,105.5,102.3,3.44,2,2015
14,Baylor 3,24-10,22.14,116.6,94.5,61.5,-0.035,10.22,108.9,98.7,-0.51,0,2015
15,Michigan St. 7,27-12,21.72,116.6,94.9,63.1,-0.017,10.49,110.3,99.8,-0.88,4,2015
16,Iowa St. 3,25-9,21.49,119,97.5,69.6,0.005,10.59,109,98.5,-1.18,0,2015
17,Louisville 4,27-9,21.21,110.2,88.9,64.6,0.027,9.69,109.5,99.8,-2.36,3,2015
18,Northern Iowa 5,31-4,20.98,116.3,95.3,58.2,0.018,1.42,104.4,103,0.61,1,2015
19,Ohio St. 10,24-11,20.75,115.6,94.8,65.2,-0.043,6.76,108.1,101.4,-7.41,1,2015
20,Butler 6,23-11,20.09,110.2,90.1,63.2,-0.023,9.72,110.6,100.9,0.69,1,2015
21,Xavier 6,23-14,19.49,116.6,97.1,65,-0.062,10.29,109.5,99.2,2.07,2,2015
22,Georgetown 4,22-11,19.13,114.3,95.1,64,0,10.23,110.5,100.3,3.24,1,2015
23,Iowa 7,22-12,19.02,114.2,95.1,63.7,-0.007,8.58,108.9,100.4,-1.58,1,2015
24,Texas 11,20-14,18.94,112.4,93.4,62,-0.079,9.52,108.3,98.8,-2.47,0,2015
25,West Virginia 5,25-10,17.64,112.6,94.9,67.9,0.087,9.56,108.9,99.3,-2.65,2,2015
26,SMU 6,27-7,17.51,113.1,95.6,63.1,-0.004,2.52,105.3,102.8,0.99,0,2015
27,Providence 6,22-12,16.72,112.6,95.9,65.2,0.038,10.26,109.7,99.4,2.18,0,2015
29,Arkansas 5,27-9,16.44,114.7,98.3,69.3,0.045,6.09,107.2,101.1,-3.44,1,2015
30,VCU 7,26-10,16.27,111.1,94.9,66.5,0.043,6.65,107.9,101.2,8.77,0,2015
31,San Diego St. 8,27-9,15.95,104.9,89,60.4,0.026,3.63,106.1,102.5,3.5,1,2015
32,North Carolina St. 8,22-14,15.93,114.9,98.9,64.1,-0.003,9.84,109.3,99.5,-0.65,2,2015
33,Maryland 4,28-7,15.68,111.3,95.7,63.9,0.127,7.15,108.3,101.1,-3.33,1,2015
35,Georgia 10,21-12,15.09,109.6,94.5,64.1,0.001,8.73,108.6,99.9,1.41,0,2015
36,Davidson 10,24-8,15,119.7,104.7,66.7,0.056,3.16,105.3,102.2,-3.78,0,2015
38,Oklahoma St. 9,18-14,14.92,111.8,96.8,63.3,-0.045,10.42,108.2,97.8,-1.65,0,2015
40,UCLA 11,22-14,14.65,112.9,98.2,65.8,0.032,8.4,107.9,99.5,2.63,2,2015
42,Dayton 11,27-9,14.24,109.2,95,63.4,0.022,3.39,105.4,102,0.07,1,2015
43,Cincinnati 8,23-11,14.15,108.2,94,59.8,-0.016,3.39,104.9,101.5,1.69,1,2015
44,Purdue 9,21-13,13.96,110.9,97,64.3,-0.006,7.45,109,101.6,-2.75,0,2015
45,Oregon 8,26-10,13.88,115.2,101.3,66.6,0.119,7.28,108.4,101.1,-2.34,1,2015
46,Mississippi 11,21-13,13.88,114.5,100.6,66.2,-0.033,7.1,107.3,100.2,-1.19,0,2015
48,Indiana 10,20-14,13.83,119.8,106,66.6,-0.044,6.92,107.8,100.9,-5.96,0,2015
49,LSU 9,22-11,13.76,108.9,95.1,69.3,-0.043,5.09,106.2,101.2,-4.77,0,2015
50,St. John's 9,21-12,13.7,110.7,97,66.7,0.05,8.72,109,100.3,-1.5,0,2015
51,Stephen F. Austin 12,29-5,13.64,113.9,100.3,65.4,0.02,-5.56,102.2,107.7,0.63,0,2015
58,Buffalo 12,23-10,11.87,111.3,99.4,68.3,0.001,1.83,106,104.2,0.81,0,2015
64,Valparaiso 13,28-6,11.13,107.4,96.3,62.3,0.053,-2.06,104.2,106.3,-3.69,0,2015
68,Georgia St. 14,25-10,10.32,111.6,101.3,62.4,-0.003,-1.47,102.4,103.9,3.63,1,2015
75,Harvard 13,22-8,9.23,104.8,95.6,61.1,0.091,-0.18,104.3,104.5,0.36,0,2015
91,UC Irvine 13,21-13,7.09,106.3,99.2,63.4,-0.022,0.9,104.7,103.8,2.29,0,2015
96,Wofford 12,28-7,6.72,105.2,98.5,60.5,0.122,-3.98,104,108,6.79,0,2015
98,New Mexico St. 15,23-11,6.63,107.4,100.8,63,-0.042,-5.37,101.1,106.5,1.78,0,2015
109,Wyoming 12,25-10,5.67,104.8,99.1,59.1,0.083,-1.04,103,104.1,-10.31,0,2015
117,Northeastern 14,23-12,5.12,108.3,103.1,63.3,0.025,-1.29,104.5,105.7,1.8,0,2015
131,Albany 14,24-9,3.29,107.2,103.9,60.8,0.054,-5.5,100.4,105.9,0.18,0,2015
133,Eastern Washington 13,26-9,3.25,112.9,109.6,68.2,0.067,-3.75,104.2,108,3.94,0,2015
135,UAB 14,20-16,3.06,104.9,101.9,64.7,0.025,0.29,103.9,103.6,3.4,1,2015
140,Coastal Carolina 16,24-10,2.38,106.7,104.3,64.1,0.006,-6.45,102.2,108.6,-1.05,0,2015
142,Belmont 15,22-11,2.27,110.2,107.9,66.9,0.065,-3.33,102.4,105.7,-1.68,0,2015
152,North Dakota St. 15,23-10,1.41,103.8,102.4,60.8,0.105,-4.21,102.9,107.1,-5.5,0,2015
184,Robert Morris 16,20-15,-1.39,103.1,104.5,65.4,0.055,-4.59,102.7,107.3,2.49,0,2015
193,Lafayette 16,20-13,-2.14,112.9,115.1,64.6,0.097,-4.01,103,107,-0.45,0,2015
213,Texas Southern 15,22-13,-3.84,104.1,107.9,63.3,0.128,-6.74,100,106.8,15.16,0,2015
251,Hampton 16,17-18,-7.4,96.6,104,69.2,0.031,-7.48,99.5,106.9,-0.55,0,2015
1,Louisville 4,31-6,30.41,118.9,88.5,67.2,-0.045,4.31,107,102.7,-4.65,2,2014
2,Arizona 1,33-5,30.11,116.5,86.4,62.8,0.014,9.3,109.9,100.6,1.62,3,2014
3,Florida 1,36-3,28.57,116.5,88,61.3,0.053,9.02,109.4,100.4,2.39,4,2014
4,Virginia 1,30-7,26.46,114.8,88.3,59.5,0.012,8.67,109.4,100.8,1.57,2,2014
5,Wisconsin 2,30-8,25.89,122,96.1,62.4,0.019,11.44,110.2,98.8,3.33,4,2014
6,Wichita St. 1,35-1,25.36,117.8,92.4,63.5,-0.009,1.04,105.8,104.8,2.89,1,2014
7,Kansas 2,25-10,24.6,119.3,94.7,66.6,-0.051,12.13,112.2,100,9.47,1,2014
8,Duke 3,26-9,24.25,124.7,100.4,64.6,-0.035,8.76,109.2,100.5,2.4,0,2014
9,Michigan St. 4,29-9,23.92,118.6,94.7,64.4,-0.003,10.44,110.2,99.7,0.57,3,2014
10,Tennessee 11,24-13,23.69,117.9,94.2,61.6,-0.099,8.12,108.9,100.8,1.46,2,2014
11,Villanova 2,29-5,23.68,116.3,92.6,66,0.075,7.47,110.1,102.6,2.61,1,2014
12,Michigan 2,28-9,23.44,123.9,100.5,61,0.047,11.65,110.3,98.6,0.62,3,2014
13,Kentucky 8,29-11,22.55,118.3,95.8,64,-0.025,10.73,110.5,99.8,4.19,5,2014
14,UCLA 4,28-9,22.53,118.7,96.1,68.4,-0.019,7.63,109.1,101.5,-3.26,2,2014
15,Connecticut 7,32-8,22.13,113.6,91.5,63.2,0.08,9.43,109.7,100.3,0.91,6,2014
16,Pittsburgh 9,26-10,21.89,116.9,95,62.2,-0.038,7.62,108,100.4,-3.66,1,2014
17,Creighton 3,27-8,21.72,124.2,102.5,63.6,0.024,7.5,108.5,101,1.31,1,2014
18,Syracuse 3,28-6,21.62,114.6,93,59.6,0.016,7.23,109.4,102.2,-1.01,1,2014
19,Ohio St. 6,25-10,21.3,109.3,88,64,-0.043,7.8,109.2,101.4,-3.36,0,2014
20,Iowa St. 3,28-8,21.07,118.9,97.8,70.2,0.064,10.77,111.1,100.4,1.44,2,2014
21,Oklahoma St. 9,21-13,20.98,115.9,95,67.2,-0.11,9.06,109.9,100.8,-1.15,0,2014
23,San Diego St. 4,31-5,20.38,110.4,90,62.3,0.067,5.18,108,102.8,2.71,2,2014
24,Gonzaga 8,29-7,20.14,114,93.8,65,0.016,5.05,109,103.9,2.2,1,2014
25,VCU 5,26-9,19.8,109.2,89.4,68.9,-0.058,5.45,107.4,102,1.33,0,2014
26,Baylor 6,26-12,19.39,118.9,99.5,61.3,0.012,10.31,111,100.6,-0.36,2,2014
27,Cincinnati 5,27-7,19.24,109.7,90.4,61.1,0.036,4.72,107.3,102.6,-4.57,0,2014
28,Oregon 7,24-10,19.02,118.9,99.9,67.5,-0.037,7.39,109.1,101.8,-1.18,1,2014
29,North Carolina 6,24-10,18.44,112.6,94.2,69.2,0,8.83,110.5,101.6,1.31,1,2014
30,Oklahoma 5,23-10,17.9,117.9,100,69.6,-0.022,9.13,110.2,101,0.5,0,2014
32,Harvard 12,27-5,17.58,112.9,95.3,64.1,0.02,0.13,104.5,104.3,0.98,1,2014
33,New Mexico 7,27-7,17.15,113.5,96.3,64.4,0.032,4.83,107.7,102.9,3.24,0,2014
34,Stanford 10,23-13,16.06,112.4,96.4,65.3,0.016,9.42,110.2,100.7,2.34,2,2014
35,Saint Louis 5,27-7,15.72,105.7,90,65.6,0.04,5.04,107.2,102.2,-1.5,1,2014
36,Memphis 8,24-10,15.22,112.4,97.1,67.5,0.048,7.25,108.3,101.1,0.02,1,2014
39,Arizona St. 10,21-12,14.82,111.2,96.4,67.4,0.003,7.5,108.6,101.1,-2.6,0,2014
41,Texas 7,24-11,14.52,111.8,97.3,66.8,0.092,9.61,110.9,101.3,-1.74,1,2014
42,Dayton 11,26-11,14.25,113.8,99.6,63.8,0.038,6.25,107.7,101.4,-0.57,3,2014
45,Kansas St. 9,20-13,14.1,107.8,93.7,63.3,0.001,8.17,110.5,102.3,-4.06,0,2014
47,George Washington 9,24-9,13.82,110.8,97,65.3,0.056,5.56,107.3,101.7,-0.08,0,2014
48,Providence 11,23-12,13.81,114.6,100.8,62.9,0.051,8.35,109.2,100.8,0.81,0,2014
49,BYU 10,23-12,13.77,114.5,100.7,70.8,-0.004,6.59,109.6,103,8.43,0,2014
50,Massachusetts 6,24-9,13.46,110,96.5,70.3,0.065,7.33,108,100.6,5.53,0,2014
55,Saint Joseph's 10,24-10,12.93,112.3,99.4,64.3,0.079,6.18,107.5,101.3,0.17,0,2014
56,Nebraska 11,19-13,12.64,108.8,96.1,64.7,0.047,9.3,108.4,99.1,-1.95,0,2014
61,North Dakota St. 12,26-7,11.76,115.5,103.7,62.3,0.089,1.38,106.8,105.4,5.32,1,2014
62,North Carolina St. 12,22-14,11.6,114,102.4,64.7,0.065,7.77,108.4,100.7,-4.31,0,2014
67,Colorado 8,23-12,11.2,107.7,96.5,64.8,0.12,8.74,109.5,100.8,1.71,0,2014
70,Stephen F. Austin 12,32-3,10.83,112.3,101.5,61.2,0.073,-7.12,102,109.2,-4.19,1,2014
72,New Mexico St. 13,26-10,10.54,112.9,102.4,65.2,-0.03,-3.64,103,106.7,2.6,0,2014
74,Manhattan 13,25-8,10.21,107.2,97,67.7,-0.008,-0.2,105.6,105.8,3.46,0,2014
82,Tulsa 13,21-13,8.93,106.1,97.2,66.8,-0.023,0.57,104.9,104.3,2.81,0,2014
87,Mercer 14,27-9,8.34,110.8,102.4,63.6,0.022,-4.44,103.6,108,4.65,1,2014
92,North Carolina Central 14,28-6,7.98,108.6,100.7,62.3,0.04,-10.35,98.1,108.5,-1.94,0,2014
106,Delaware 13,25-10,5.83,112,106.2,70.4,0.064,-0.68,105.2,105.9,2.88,0,2014
113,Louisiana Lafayette 14,23-12,5.19,110.2,105,68.5,0.038,-0.57,105,105.6,4.65,0,2014
120,American 15,20-13,4.57,103.4,98.9,59.7,0.007,-2.59,103.6,106.2,-0.1,0,2014
125,Eastern Kentucky 15,24-10,3.96,112.4,108.4,64.2,0.036,-4.97,104.1,109,-5.04,0,2014
131,Western Michigan 14,23-10,3.36,106.3,103,65.2,0.098,-1.86,103.9,105.7,-3.25,0,2014
168,Milwaukee 15,21-14,0.08,104.7,104.6,65.8,0.119,0.03,104.4,104.4,-2.92,0,2014
172,Weber St. 16,19-12,-0.62,106.4,107,62.9,-0.009,-6.78,103.3,110,6.69,0,2014
